configuration,epoch,optimizer_update,mean_total_training_loss,mean_scene_loss,mean_ip_loss,ip_loss_semantics,ending_learning_rate,validation_retrieval_loss,mean_source_separation_margin,patience,final_selected_checkpoint
cfg_d48,80,6080,1.603265875,1.580512976,0.0227528983,derived_weighted,0.0007008477123,0.5953714848,0.2288372666,0,false
cfg_d48,85,6460,1.565899155,1.543537115,0.02236204053,derived_weighted,0.0006623497346,0.5885448456,0.2310981899,0,false
cfg_d48,90,6840,1.522040193,1.500349763,0.02169042983,derived_weighted,0.0006227427436,0.5859056115,0.2301737219,0,false
cfg_d48,95,7220,1.486336796,1.46486346,0.02147333591,derived_weighted,0.0005822972951,0.5854843855,0.2301930636,0,false
cfg_d48,100,7600,1.454221739,1.433039219,0.02118251982,derived_weighted,0.0005412896727,0.5727306604,0.2345868051,0,false
cfg_d48,105,7980,1.430143748,1.409324922,0.02081882671,derived_weighted,0.0005,0.5629427433,0.2344382852,0,false
cfg_d48,110,8360,1.406358248,1.385556455,0.02080179296,derived_weighted,0.0004587103273,0.5730585456,0.2348367572,1,false
cfg_d48,115,8740,1.386706593,1.365894255,0.02081233734,derived_weighted,0.0004177027049,0.5624440908,0.2345623076,0,false
cfg_d48,120,9120,1.364366642,1.343964069,0.0204025736,derived_weighted,0.0003772572564,0.5596585274,0.2357739508,0,false
cfg_d48,125,9500,1.342777237,1.322483071,0.02029416655,derived_weighted,0.0003376502654,0.5642539263,0.2349743396,1,false
cfg_d48,130,9880,1.324026001,1.303849754,0.02017624661,derived_weighted,0.0002991522877,0.5484582782,0.2382205427,0,true
cfg_d48,135,10260,1.307247714,1.287158833,0.02008888157,derived_weighted,0.0002620263035,0.5545305014,0.2375020832,1,false
cfg_d48,140,10640,1.296299926,1.276414997,0.01988492953,derived_weighted,0.0002265259209,0.5612845421,0.2366741896,2,false
cfg_d48,145,11020,1.286747295,1.267112142,0.01963515219,derived_weighted,0.0001928936437,0.5603138208,0.2372743785,3,false
cfg_d48,150,11400,1.269384916,1.249582388,0.01980252736,derived_weighted,0.0001613592142,0.5574666858,0.2364426255,4,false
cfg_d128,5,380,5.943683929,5.459995385,0.4836885446,derived_weighted,0.0005,1.467469335,0.15864636,0,false
cfg_d128,10,760,3.872437483,3.831153856,0.04128362756,derived_weighted,0.001,0.7171003819,0.232061252,0,false
cfg_d128,15,1140,2.815946217,2.787755242,0.02819097544,derived_weighted,0.0009982922465,0.4171280563,0.2815176845,0,false
